batch_id,proposal_count,entropy_domain_count,accepted_count,accepted_fraction,minimum_accepted_margin
102,262144,262144,46,0.00017547607421875,0.0007201014511102333
103,262144,262144,49,0.000186920166015625,0.0006268226677395017
104,262144,262144,60,0.0002288818359375,0.0002478893464361587
105,262144,262144,66,0.00025177001953125,0.00069721263990008
106,262144,262144,58,0.00022125244140625,0.0016729002753970157
107,262144,262144,46,0.00017547607421875,0.0007092277505520439
108,262144,262144,54,0.00020599365234375,0.00020459471421863107
109,262144,262144,47,0.000179290771484375,0.001743086420572748
110,262144,262144,67,0.000255584716796875,0.0006060390388227255
111,262144,262144,55,0.000209808349609375,4.988230849711783e-06
112,262144,262144,59,0.000225067138671875,0.000679600002357228
113,262144,262144,47,0.000179290771484375,0.0002069973975127315
114,262144,262144,54,0.00020599365234375,2.2379373148195825e-05
115,262144,262144,46,0.00017547607421875,0.0003946763307969281
116,262144,262144,49,0.000186920166015625,0.00019129417754260025
117,262144,262144,54,0.00020599365234375,0.00024687397494060903
118,262144,262144,62,0.00023651123046875,0.0014510145650092898
119,262144,262144,50,0.00019073486328125,9.236525171751886e-05
120,262144,262144,57,0.000217437744140625,0.00013715172850914392
121,262144,262144,57,0.000217437744140625,1.6719790953967362e-05
122,262144,262144,65,0.000247955322265625,0.00024021754736436307
123,262144,262144,70,0.00026702880859375,0.0001510635254691195
124,262144,262144,60,0.0002288818359375,5.107977660223639e-05
125,262144,262144,59,0.000225067138671875,0.00010396295556147628
126,262144,262144,60,0.0002288818359375,0.0019786942143822372
127,262144,262144,49,0.000186920166015625,0.00014098941071272186
128,262144,262144,52,0.0001983642578125,0.00011217245749617355
129,262144,262144,65,0.000247955322265625,0.00013032003191049135
130,262144,262144,53,0.000202178955078125,0.00018576200969833145
131,262144,262144,54,0.00020599365234375,1.5161180459299928e-05
132,262144,262144,63,0.000240325927734375,0.0005256286470856075
133,262144,262144,44,0.0001678466796875,0.00028445914857755383
134,262144,262144,47,0.000179290771484375,0.00011724207872143566
135,262144,262144,52,0.0001983642578125,4.7598131029724655e-05
136,262144,262144,57,0.000217437744140625,0.00037983960601084554
137,262144,262144,48,0.00018310546875,0.0009517118877793163
138,262144,262144,46,0.00017547607421875,0.0004473143435179683
139,262144,262144,62,0.00023651123046875,0.0009542584708666091
140,262144,262144,50,0.00019073486328125,2.159017317859835e-05
141,262144,262144,46,0.00017547607421875,0.00136898147735387
142,262144,262144,50,0.00019073486328125,0.00011183284677662719
143,262144,262144,51,0.000194549560546875,0.00024294093730548028
144,262144,262144,65,0.000247955322265625,0.0007406740422581937
145,262144,262144,53,0.000202178955078125,0.00029678583706460593
146,262144,262144,53,0.000202178955078125,0.00042914425256879163
147,262144,262144,67,0.000255584716796875,0.0001314905043316994
148,262144,262144,52,0.0001983642578125,0.00010627212560598842
149,262144,262144,53,0.000202178955078125,0.0011788618557921904
150,262144,262144,46,0.00017547607421875,0.00014903603976135216
151,262144,262144,58,0.00022125244140625,0.00033416737175628874
152,262144,262144,46,0.00017547607421875,0.0007490763943001078
153,262144,262144,59,0.000225067138671875,0.00042179766907257665
